disease,desc
autonomic nervous system disorder,"Also known as Autonomic Disease  ,Your autonomic nervous system is the part of your nervous system that controls involuntary actions such as the beating of your heart and the widening or narrowing of your blood vessels. When something goes wrong in this system it can cause serious problems including Blood pressure problems Heart problems Trouble with breathing and swallowing Erectile dysfunction in men Autonomic nervous system disorders can occur alone or as the result of another disease such as Parkinson's disease alcoholism and diabetes. Problems can affect either part of the system as in complex regional pain syndromes or all of the system. Some types are temporary but many worsen over time. When they affect your breathing or heart function these disorders can be life-threatening. Some autonomic nervous system disorders get better when an underlying disease is treated. Often however there is no cure. In that case the goal of treatment is to improve symptoms. NIH: National Institute of Neurological Disorders and Stroke , Source: MedlinePlus"
psychosexual disorder,"Psychosexual disorder is a term which may simply refer to a sexual problem that is psychological rather than physiologicalin origin. , Source: Wikipedia"
anemia,"Anemia (/əˈniːmiə/; also spelled anaemia and anæmia; from Ancient Greek: ἀναιμία anaimia meaning lack of blood from ἀν- an-not + αἷμα haimablood) is a decrease in number of red blood cells (RBCs) or less than the normal quantity of hemoglobin in the blood. However it can include decreased oxygen-binding ability of each hemoglobin molecule due to deformity or lack in numerical development as in some other types of hemoglobin deficiency. Because hemoglobin (found inside RBCs) normally carries oxygen from the lungs to the capillaries anemia leads to hypoxia (lack of oxygen) in organs. Since all human cells depend on oxygen for survivalvarying degrees of anemia can have a wide range of clinical consequences. , Source: Wikipedia"
tendinitis,"Tendinitis (informally also tendonitis) meaning inflammation of a tendon is a type of tendinopathy often confused with the more common tendinosis which has similar symptoms but requires different treatment. (The suffix -itis denotes diseases characterized by inflammation.) The term tendinitis should be reserved for tendon injuries that involve larger-scale acute injuries accompanied by inflammation. Generally tendinitis is referred to by the body part involved such as Achilles tendinitis (affecting the Achilles tendon) or patellar tendinitis (jumper's kneeaffecting the patellar tendon). , Source: Wikipedia"
common cold,"Also known as Head Cold Acute Rhinitisand Acute Nasopharyngitis  ,The common cold (also known as nasopharyngitis rhinopharyngitis acute coryza or a cold) is a viral infectious disease of the upper respiratory tract which affects primarily the nose. Symptoms include coughing sore throat runny nose sneezing and fever which usually resolve in seven to ten days with some symptoms lasting up to three weeks. Well over 200 viruses are implicated in the cause of the common cold; the rhinoviruses are the most common. , Source: Wikipedia"
amyotrophic lateral sclerosis (als),"Also known as Lou Gehrig Disease  ,Amyotrophic lateral sclerosis (ALS) – also referred to as motor neurone disease in some Commonwealth of Nations countries and as Lou Gehrig's disease in the United States – is a debilitating disease with varied etiology characterized by rapidly progressive weakness muscle atrophy and fasciculations muscle spasticity difficulty speaking (dysarthria) difficulty swallowing (dysphagia)and difficulty breathing (dyspnea). ALS is the most common of the five motor neuron diseases. , Source: Wikipedia"
central retinal artery or vein occlusion,"Also known as Retinal Vascular Occlusion  ,Ocular ischemic syndrome is the constellation of ocular signs and symptoms secondary to severe chronic arterial hypoperfusion to the eye. Amaurosis fugax is a form of acute vision loss caused by reduced blood flow to the eye that may be a warning sign of an impending stroke. Consequently those with transient blurring of vision are advised to urgently seek medical attention for a thorough evaluation of the carotid artery. Anterior segment ischemic syndrome is a similar ischemic condition of anterior segment usually seen in post-surgical cases. Retinal arterial occlusion leads to rapid death of retinal cellsthereby resulting in severe loss of vision. , Source: Wikipedia"
paroxysmal supraventricular tachycardia,"Also known as SVT  ,Supraventricular tachycardia (SVT) is a rapid heart rhythm originating at or above the atrioventricular node. Supraventricular tachycardias can be contrasted with the potentially more dangerous ventricular tachycardias - rapid rhythms that originate within the ventricular tissue. ,Source: Wikipedia"
venous insufficiency,"Venous insufficiency can refer to: , Source: Wikipedia"
trichomonas infection,"Also known as Trichomonas Trichomoniasisand Trichomonosis  ,Trichomonas is a genus of anaerobic protists that are parasites of vertebrates. They are included with the parabasalids. , Source: Wikipedia"
acne,"Acne vulgaris (cystic acne or simply acne) is a common human skin disease characterized by areas of skin with seborrhea (scaly red skin) comedones (blackheads and whiteheads) papules (pinheads) pustules (pimples) nodules (large papules) and possibly scarring. Acne affects mostly skin with the densest population of sebaceous follicles; these areas include the face the upper part of the chest and the back. Severe acne is inflammatory but acne can also manifest in noninflammatory forms. The lesions are caused by changes in pilosebaceous units skin structures consisting of a hair follicle and its associated sebaceous glandchanges that require androgen stimulation. , Source: Wikipedia"
depression,"Also known as Depressive Disorder  ,Depression or depress(ed) may refer to: ,Source: Wikipedia"
